trade_id,stock_symbol,quantity,purchase_price,purchase_date
1,WIN,1171,699.48,4/4/2020
2,ASB^C,8359,168.56,7/3/2022
3,OFS,1478,822.71,3/27/2022
4,NRCIB,6119,861.26,10/27/2021
5,FTXO,9278,535.04,12/24/2020
6,MMYT,3594,671.17,6/7/2022
7,REV,3779,203.14,5/3/2021
8,IBKCO,2795,175.65,3/31/2021
9,XON,9259,535.38,8/21/2021
10,VZ,6952,720.09,11/19/2021
11,MORN,7460,546.75,12/29/2021
12,LANDP,9660,222.99,6/21/2020
13,AIRR,8541,551.65,12/3/2020
14,FCBC,7504,121.51,5/27/2022
15,CMCT,7513,669.57,12/22/2020
16,WHR,3057,335.32,8/28/2022
17,AGM^A,6538,976.49,11/26/2022
18,MAUI,9693,866.69,8/19/2020
19,BBVA,4609,765.5,4/11/2020
20,IPCC,2959,837.27,7/19/2022
21,BLRX,5536,413.19,10/16/2021
22,AT,9749,873.94,2/19/2022
23,SBBX,2294,33.76,10/8/2020
24,TVPT,2350,952.31,3/12/2022
25,VPV,3829,768.8,5/18/2022
26,PUI,8829,403.59,12/3/2021
27,VTGN,1466,125.39,6/18/2020
28,BLL,8789,467.48,2/22/2021
29,OBCI,1889,57.74,8/29/2021
30,GEC,9867,694.26,7/18/2020
31,DGRE,8284,681.43,6/13/2022
32,MSCI,8881,501.3,11/2/2022
33,WKHS,8174,902.32,1/7/2021
34,HEQ,9507,229.62,11/7/2020
35,FDEF,4460,878.31,5/22/2022
36,DIN,8092,345.34,1/14/2021
37,GJV,5610,949.09,6/20/2022
38,CUBA,6142,685.78,4/16/2022
39,ANH^C,6332,566.4,1/23/2020
40,KEG,747,282.51,7/31/2020
41,YECO,2505,579.74,2/3/2020
42,HSON,9797,769.94,7/5/2022
43,ARCB,9815,870.02,12/18/2020
44,JPC,1935,351.76,6/26/2020
45,BVSN,6984,144.11,11/25/2021
46,NGL,4735,853.51,3/16/2021
47,DTJ,149,296.58,9/24/2022
48,GDV^G,4227,599.91,5/31/2020
49,PES,7387,403.14,12/17/2021
50,GNRC,6604,467.6,7/27/2021
51,YRD,5554,525.94,2/11/2022
52,NFLX,8743,145.25,12/4/2022
53,NSH,6846,690.15,8/14/2021
54,BOTZ,8050,640.07,4/26/2022
55,CAR,4785,476.37,9/5/2021
56,PSB,9229,603.24,3/6/2022
57,GXP^B,1547,2.66,10/20/2022
58,SBRAP,5073,644.55,6/16/2022
59,BAC^L,1893,356.28,9/20/2022
60,LVNTB,1217,752.25,10/30/2022
61,MNTA,1174,844.96,8/27/2022
62,SCSS,7521,392.92,11/24/2021
63,IDRA,3125,60.48,10/1/2020
64,BSX,2678,79.94,7/13/2020
65,SAB,5271,698.51,8/2/2022
66,CSGP,6440,908.8,10/22/2022
67,ANIK,5580,99.97,6/7/2020
68,ALL^A,4969,196.22,6/9/2021
69,BLMN,5369,950.15,11/10/2021
70,AVAL,3398,331.01,4/9/2022
71,PCH,8429,701.86,2/17/2022
72,VNTV,4813,889.82,6/16/2021
73,CHGG,4994,570.05,7/16/2022
74,CGG,1858,788.89,9/6/2020
75,ONVI,7690,320.37,12/31/2021
76,K,2149,281.15,3/2/2022
77,BFIT,1899,678.87,3/4/2020
78,LDR,4109,795.06,10/1/2022
79,NYV,6539,996.3,8/5/2022
80,DYN.WS,2559,971.15,4/20/2020
81,ROP,1655,276.85,11/2/2020
82,GENY,9498,714.29,6/26/2022
83,JBHT,5091,210.77,11/26/2020
84,AMD,482,290.64,8/1/2022
85,HEI,2578,997.59,8/22/2022
86,BBD,551,890.3,6/7/2022
87,FNJN,8319,491.94,6/2/2022
88,CGNT,3671,139.97,3/1/2020
89,IFF,1359,325.94,11/9/2022
90,EROS,5014,559.87,10/21/2020
91,WRI,845,65.99,7/9/2020
92,OME,9229,290.95,11/5/2020
93,OFG^A,7569,167.04,4/13/2022
94,GF,8277,715.05,8/11/2021
